api-gateway	cluster_admin	get-cluster-as-admin	GREEN
api-gateway	cluster_admin	get-cluster-as-ordinary	GREEN
api-gateway	cluster_admin	grant-as-ordinary	GREEN
api-gateway	cluster_admin	grant-nonexistent-user	GREEN
api-gateway	cluster_admin	grant-target-again	GREEN
api-gateway	cluster_admin	grant-target	GREEN
api-gateway	cluster_admin	list-admins-as-admin	GREEN
api-gateway	cluster_admin	list-admins-as-ordinary	GREEN
api-gateway	cluster_admin	list-admins-excludes-target	GREEN
api-gateway	cluster_admin	list-admins-includes-target	GREEN
api-gateway	cluster_admin	list-admins-no-duplicate	GREEN
api-gateway	cluster_admin	poll-grant	GREEN
api-gateway	cluster_admin	poll-grant-idem	GREEN
api-gateway	cluster_admin	poll-revoke	GREEN
api-gateway	cluster_admin	poll-upsert-target-user	GREEN
api-gateway	cluster_admin	poll-upsert-target-user	GREEN
api-gateway	cluster_admin	revoke-non-admin	GREEN
api-gateway	cluster_admin	revoke-target	GREEN
api-gateway	cluster_admin	upsert-target-user	GREEN
compute	authz-deny	delete	GREEN
compute	authz-deny	delete	GREEN
compute	authz-deny	delete	GREEN
compute	authz-deny	delete	GREEN
compute	authz-deny	delete	GREEN
compute	authz-deny	delete	GREEN
compute	authz-deny	get-abs1	GREEN
compute	authz-deny	get-abs2	GREEN
compute	authz-deny	get-abs3	GREEN
compute	authz-deny	get-abs4	GREEN
compute	authz-deny	get-abs5	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	get	GREEN
compute	authz-deny	patch	GREEN
compute	authz-deny	patch	GREEN
compute	authz-deny	patch	GREEN
compute	authz-deny	patch	GREEN
compute	authz-deny	patch	GREEN
compute	authz-deny	patch	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	authz-deny	post	GREEN
compute	instance-redesign	assert-op-error	GREEN
compute	instance-redesign	assert-op-error	GREEN
compute	instance-redesign	assert-op-error	GREEN
compute	instance-redesign	assert-op-error	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
compute	instance-redesign	assert-op-success	GREEN
